produit,pays,valeur_2000,valeur_2001,valeur_2002,valeur_2003,valeur_2004,valeur_2005,valeur_2006,valeur_2007,valeur_2008,valeur_2009,valeur_2010,valeur_2011,valeur_2012,valeur_2013,valeur_2014,valeur_2015,valeur_2016,valeur_2017,valeur_2018,valeur_2019,valeur_2020,valeur_2021,valeur_2022,valeur_2023,poids_2000,poids_2001,poids_2002,poids_2003,poids_2004,poids_2005,poids_2006,poids_2007,poids_2008,poids_2009,poids_2010,poids_2011,poids_2012,poids_2013,poids_2014,poids_2015,poids_2016,poids_2017,poids_2018,poids_2019,poids_2020,poids_2021,poids_2022,poids_2023
MELON,IRLANDE,0,0,0,432000,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,36000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MELON,ISLANDE,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1503.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0
MELON,ITALIE,12612889,4687569,34706248,3071206,13938245,22412465,23492339,11019312,10175325,17842605,7159087,8747486.0,431734.175,979026.2,618195.5700000001,11742218.0,191623.15,16412635.0,18778545.0,20171294.688,14400462.16,23591017.118,27806790.152,20195485.651,2103416,671020,3184052,257580,1180860,2559256,3483331,1703627,1623471,2177687,919156,904044,50996.0,161748.0,114120.0,1075258.0,13500.0,2046959.0,1774467.0,2166455.0,1419484.0,1978400.0,2189062.8,1389713.4
MELON,JAPON,0,48371,0,51085,0,51072,49421,52470,90694,71728,36506,18806.0,16816.0,73435.0,0.0,36137.0,61537.0,190565.0,285373.0,54.0,488829.45,59516.0,154630.0,0.0,0,2496,0,3000,0,3000,2880,3000,4960,4000,2000,1000,920.0,4000.0,0.0,2000.0,3000.0,8020.0,10000.0,7.0,27358.0,2000.0,4006.0,0.0
MELON,KOWEIT,0,0,0,0,0,0,0,0,68945,0,0,0.0,0.0,0.0,0.0,38023.0,0.0,0.0,0.0,0.0,7063.0,0.0,0.0,1749.0,0,0,0,0,0,0,0,0,6427,0,0,0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,242.0,0.0,0.0,46.0
MELON,LIBERIA,0,0,0,0,0,40832,0,38402,0,0,0,16650.0,0.0,0.0,0.0,860.0,41250.0,0.0,16957.0,50367.528,60281.0,54236.0,29642.0,1045.0,0,0,0,0,0,5486,0,9188,0,0,0,3225,0.0,0.0,0.0,86.0,7500.0,0.0,2197.5,2291.8,2376.65,2026.99,1031.0,21.5
MELON,LIBYE,0,0,0,0,0,0,0,168,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,335,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MELON,MALI,0,0,0,0,0,0,0,0,0,0,0,0.0,3600.0,21540.0,171940.0,133950.0,163286.0,330567.4,402899.0,196635.0,262602.0,668344.0,795022.0,289489.0,0,0,0,0,0,0,0,0,0,0,0,0,1200.0,7620.0,91770.0,55650.0,88191.0,111702.0,128271.0,71505.0,91345.0,211173.0,188231.0,74040.0
MELON,MAURITANIE,0,600,0,935,0,6400,0,0,0,0,925790,1531200.0,24100.0,351800.0,4816635.0,3904176.13,3932956.0,3816991.0,9217646.0,7754927.5,21873272.0,12330726.5,9750665.0,8842865.5,0,200,0,110,0,8000,0,0,0,0,297885,341300,19600.0,132520.0,2276390.0,1805740.0,1823418.0,1820104.0,5511482.0,3714658.0,9980212.0,4517870.0,2504534.0,1925453.0
MELON,NIGER,0,0,0,0,0,0,0,0,0,0,3651,0.0,0.0,0.0,0.0,13780.0,61600.0,167909.0,202060.0,339913.0,735476.0,468301.0,724791.0,111053.0,0,0,0,0,0,0,0,0,0,0,5500,0,0.0,0.0,0.0,6890.0,30400.0,58162.1,62599.5,116720.0,267002.0,151300.0,115961.0,27161.0
MELON,NIGERIA,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4228.0,5320.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,158.0
MELON,NORVEGE,0,0,0,0,0,0,0,0,0,0,0,0.0,55757.0,40036.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5069.0,4386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MELON,OMAN,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99992.0,36626.0,3739.0,56610.0,13477.62,3646.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,14002.0,1514.62,122.45,1740.55,301.5,76.2
MELON,PAYS-BAS,0,21917,744426,1723397,1569510,13420,1121321,1952247,6171459,1140875,4391817,7383365.0,3382781.89,577800.0,597380.0,3388145.0,571960.0,2650128.31,4533581.641,3869361.478,28116634.83,58950195.569,5790889.339,4955850.558,0,8246,149550,179345,178343,1000,132901,197210,700141,317911,280878,674555,458687.0,57780.0,103195.0,494895.2,190200.0,681308.0,508690.0,462838.61,2210356.5,3056079.0,433370.0,395352.0
MELON,POLOGNE,0,0,0,0,0,0,0,0,0,195360,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63000.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,22200,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21000.0,0.0,0.0,0.0
