"Libellé du chapitre SH";"Libellé du produit SH";"Continent";"Libellé du pays";"Libellé du flux";"Poids en KG 2000";"Valeur DHS 2000";"Poids en KG 2001";"Valeur DHS 2001";"Poids en KG 2002";"Valeur DHS 2002";"Poids en KG 2003";"Valeur DHS 2003";"Poids en KG 2004";"Valeur DHS 2004";"Poids en KG 2005";"Valeur DHS 2005";"Poids en KG 2006";"Valeur DHS 2006";"Poids en KG 2007";"Valeur DHS 2007";"Poids en KG 2008";"Valeur DHS 2008";"Poids en KG 2009";"Valeur DHS 2009";"Poids en KG 2010";"Valeur DHS 2010";"Poids en KG 2011";"Valeur DHS 2011";"Poids en KG 2012";"Valeur DHS 2012";"Poids en KG 2013";"Valeur DHS 2013";"Poids en KG 2014";"Valeur DHS 2014";"Poids en KG 2015";"Valeur DHS 2015";"Poids en KG 2016";"Valeur DHS 2016";"Poids en KG 2017";"Valeur DHS 2017";"Poids en KG 2018";"Valeur DHS 2018";"Poids en KG 2019";"Valeur DHS 2019";"Poids en KG 2020";"Valeur DHS 2020";"Poids en KG 2021";"Valeur DHS 2021";"Poids en KG 2022";"Valeur DHS 2022";"Poids en KG 2023";"Valeur DHS 2023";
"FRUITS COMESTIBLES, ÉCORCES D'AGRUMES OU DE MELONS";"ABRICOTS FRAIS";"AFRIQUE";"LIBERIA";"Exportations FAB";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"2330";"0";"0";"172";"17736";"326,4";"25511,9";
"FRUITS COMESTIBLES, ÉCORCES D'AGRUMES OU DE MELONS";"ABRICOTS CONSERVES PROVISOIREMENT IMPROPRES A L'ALIMENTATION";"EUROPE";"ESPAGNE";"Exportations FAB";"0";"0";"8640";"31104";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"FRUITS COMESTIBLES, ÉCORCES D'AGRUMES OU DE MELONS";"ABRICOTS FRAIS";"AFRIQUE";"KENYA";"Exportations FAB";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"500";"12320";"0";"0";
"FRUITS COMESTIBLES, ÉCORCES D'AGRUMES OU DE MELONS";"ABRICOTS FRAIS";"EUROPE";"ALLEMAGNE";"Exportations FAB";"0";"0";"0";"0";"25225";"240260";"0";"0";"0";"0";"0";"0";"2574";"56118";"65400";"716122";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2800";"36759";"0";"0";"0";"0";"0";"0";
"FRUITS COMESTIBLES, ÉCORCES D'AGRUMES OU DE MELONS";"ABRICOTS FRAIS";"ASIE";"ARABIE SAOUDITE";"Exportations FAB";"141078";"1517502";"132385";"2193036";"279";"18950";"2658";"29331";"11402";"118654";"72481";"757278";"53735";"2120631";"113569";"1174910";"40730";"562870";"46965";"773285";"0";"0";"0";"0";"1";"1";"6197";"92964";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"89,62";"3374";"225";"15612";"0";"0";"9396";"192065";"8108";"121717";
"FRUITS COMESTIBLES, ÉCORCES D'AGRUMES OU DE MELONS";"ABRICOTS FRAIS";"ASIE";"OMAN";"Exportations FAB";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1002";"15030";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"250,5";"8147";"0";"0";"180";"8268";"192,5";"14048";"316";"22835";
"FRUITS COMESTIBLES, ÉCORCES D'AGRUMES OU DE MELONS";"ABRICOTS FRAIS";"ASIE";"REPUBLIQUE ARABE SYRIENNE";"Exportations FAB";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"543";"8145";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"FRUITS COMESTIBLES, ÉCORCES D'AGRUMES OU DE MELONS";"ABRICOTS FRAIS";"AFRIQUE";"GUINEE EQUATORIALE";"Exportations FAB";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"40";"1073";"500";"14113";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"FRUITS COMESTIBLES, ÉCORCES D'AGRUMES OU DE MELONS";"ABRICOTS FRAIS";"AFRIQUE";"MAURITANIE";"Exportations FAB";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1650";"3300";"5500";"26800";"18813";"105240";"85807";"262846";"3272";"26424";"9485";"61740";"5005";"34470";"36030";"292428";
"FRUITS COMESTIBLES, ÉCORCES D'AGRUMES OU DE MELONS";"ABRICOTS FRAIS";"AFRIQUE";"SIERRA LEONE";"Exportations FAB";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10";"842,3";
"FRUITS COMESTIBLES, ÉCORCES D'AGRUMES OU DE MELONS";"ABRICOTS FRAIS";"AFRIQUE";"MALI";"Exportations FAB";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"250";"990";"14";"24";"5900";"17700";"10";"50";"0";"0";"8698";"69178,109";"7000";"56000";
"FRUITS COMESTIBLES, ÉCORCES D'AGRUMES OU DE MELONS";"ABRICOTS FRAIS";"EUROPE";"ESPAGNE";"Exportations FAB";"7145";"14897";"29220";"46145";"14000";"38974";"0";"0";"84640";"1068155";"89163";"761011";"0";"0";"0";"0";"0";"0";"0";"0";"14400";"95549";"0";"0";"5040";"44812";"0";"0";"0";"0";"161641,08";"1205445";"0";"0";"960426";"5737132,84";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"FRUITS COMESTIBLES, ÉCORCES D'AGRUMES OU DE MELONS";"ABRICOTS FRAIS";"AUTRE";"AUTRES PAYS";"Exportations FAB";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"21600";"353808";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"FRUITS COMESTIBLES, ÉCORCES D'AGRUMES OU DE MELONS";"ABRICOTS FRAIS";"ASIE";"QATAR";"Exportations FAB";"37272";"447264";"0";"0";"523";"26150";"8582";"88890";"28301";"601000";"0";"0";"0";"0";"1014";"10140";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10472,6";"590565";"6297";"300478";"4132";"167212";"8598,54";"429156";"7168,49";"428345";
"FRUITS COMESTIBLES, ÉCORCES D'AGRUMES OU DE MELONS";"ABRICOTS FRAIS";"EUROPE";"POLOGNE";"Exportations FAB";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"45600";"458088";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7440";"40561";"0";"0";"0";"0";"0";"0";
"FRUITS COMESTIBLES, ÉCORCES D'AGRUMES OU DE MELONS";"ABRICOTS FRAIS";"EUROPE";"PORTUGAL";"Exportations FAB";"0";"0";"389280";"1165813";"1126";"2252";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"20657,5";"84786";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"FRUITS COMESTIBLES, ÉCORCES D'AGRUMES OU DE MELONS";"ABRICOTS FRAIS";"AFRIQUE";"SENEGAL";"Exportations FAB";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"200";"1400";"0";"0";"0";"0";"0";"0";"0";"0";"2184";"11000";"0";"0";"0";"0";"400";"2542";"1600";"9600";"28";"398";"0";"0";"48404";"135097,5";"4867";"23379";"4060";"20600";"27707";"210272";"49682";"389068";
